"DistCoast","Phase","Area","Count","Depth","Year","Month","Day","YearMonth","XPos","YPos","TransectID","Density"
2,"A",0.956,0,2.11,2000,1,14,"2000/1",666.0318552,6057.014521,"20000114.t6",0
2.189,"A",0.956,0,2.3,2000,1,14,"2000/1",665.9268764,6056.524085,"20000114.t6",0
2.49,"A",0.956,0,1.73,2000,1,14,"2000/1",665.8557965,6056.027294,"20000114.t6",0
2.869,"A",0.956,0,1.14,2000,1,14,"2000/1",665.8234388,6055.525907,"20000114.t6",0
3.044,"A",0.956,0,0.5,2000,1,14,"2000/1",665.7809047,6055.018728,"20000114.t6",0
2.91,"A",0.956,0,1.22,2000,1,14,"2000/1",665.9243941,6054.52932,"20000114.t6",0
2.802,"A",0.956,0,1.5,2000,1,14,"2000/1",666.0111805,6054.036483,"20000114.t6",0
2.734,"A",0.956,0,1.71,2000,1,14,"2000/1",666.0593783,6053.538471,"20000114.t6",0
2.758,"A",0.956,0,1.96,2000,1,14,"2000/1",666.1089871,6053.040876,"20000114.t6",0
2.909,"A",0.956,0,2.33,2000,1,14,"2000/1",666.1988983,6052.547236,"20000114.t6",0
3.062,"A",0.956,0,4.06,2000,1,14,"2000/1",666.2129953,6052.046024,"20000114.t6",0
3.264,"A",0.956,0,4.83,2000,1,14,"2000/1",666.2025602,6051.544844,"20000114.t6",0
3.559,"A",0.956,70,5.39,2000,1,14,"2000/1",666.2586563,6051.047088,"20000114.t6",73.2217573221757
3.869,"A",0.956,109,5.77,2000,1,14,"2000/1",666.280773,6050.547321,"20000114.t6",114.016736401674
4.2,"A",0.956,15,5.55,2000,1,14,"2000/1",666.2891234,6050.047191,"20000114.t6",15.6903765690377
4.542,"A",0.956,0,5.59,2000,1,14,"2000/1",666.2676409,6049.546849,"20000114.t6",0
4.945,"A",0.956,0,5.28,2000,1,14,"2000/1",666.3016172,6049.047324,"20000114.t6",0
5.344,"A",0.956,0,5.88,2000,1,14,"2000/1",666.2993147,6048.547163,"20000114.t6",0
5.761,"A",0.956,0,6.31,2000,1,14,"2000/1",666.3016618,6048.047089,"20000114.t6",0
6.194,"A",0.956,0,6.66,2000,1,14,"2000/1",666.3096374,6047.546532,"20000114.t6",0
6.611,"A",0.956,0,7.43,2000,1,14,"2000/1",666.2664907,6047.047721,"20000114.t6",0
7.058,"A",0.956,0,10.06,2000,1,14,"2000/1",666.2631277,6046.547038,"20000114.t6",0
7.489,"A",0.956,0,11.85,2000,1,14,"2000/1",666.2130956,6046.049096,"20000114.t6",0
7.921,"A",0.956,0,13.27,2000,1,14,"2000/1",666.154256,6045.552221,"20000114.t6",0
8.369,"A",0.956,0,14.82,2000,1,14,"2000/1",666.1169767,6045.053457,"20000114.t6",0
8.823,"A",0.956,0,16.4,2000,1,14,"2000/1",666.0765482,6044.554328,"20000114.t6",0
9.296,"A",0.956,0,18.43,2000,1,14,"2000/1",666.0757495,6044.053306,"20000114.t6",0
9.776,"A",0.956,0,19.71,2000,1,14,"2000/1",666.0857466,6043.551771,"20000114.t6",0
10.272,"A",0.956,0,20.62,2000,1,14,"2000/1",666.1620086,6043.055495,"20000114.t6",0
10.764,"A",0.956,0,21.75,2000,1,14,"2000/1",666.2218402,6042.558751,"20000114.t6",0
11.256,"A",0.956,0,22.56,2000,1,14,"2000/1",666.2721631,6042.060423,"20000114.t6",0
11.747,"A",0.956,0,23.89,2000,1,14,"2000/1",666.3046927,6041.559212,"20000114.t6",0
12.224,"A",0.956,0,25.11,2000,1,14,"2000/1",666.2780928,6041.057237,"20000114.t6",0
12.677,"A",0.956,0,25.11,2000,1,14,"2000/1",666.1880453,6040.562587,"20000114.t6",0
13.146,"A",0.956,0,25.07,2000,1,14,"2000/1",666.1350021,6040.065206,"20000114.t6",0
13.619,"A",0.956,0,25.13,2000,1,14,"2000/1",666.0932032,6039.566634,"20000114.t6",0
14.103,"A",0.956,0,24.76,2000,1,14,"2000/1",666.0827975,6039.066371,"20000114.t6",0
14.59,"A",0.956,22,24.6,2000,1,14,"2000/1",666.0783276,6038.565931,"20000114.t6",23.0125523012552
15.063,"A",0.956,0,24.65,2000,1,14,"2000/1",666.0183308,6038.068554,"20000114.t6",0
15.549,"A",0.956,0,24.3,2000,1,14,"2000/1",666.0002311,6037.568742,"20000114.t6",0
16.032,"A",0.956,0,24.49,2000,1,14,"2000/1",665.9746487,6037.069401,"20000114.t6",0
16.512,"A",0.956,0,24.47,2000,1,14,"2000/1",665.9362851,6036.570625,"20000114.t6",0
17.659,"A",0.956,15,24.07,2000,1,14,"2000/1",668.1137695,6035.927869,"20000114.t7",15.6903765690377
17.175,"A",0.956,0,24.09,2000,1,14,"2000/1",668.098192,6036.428375,"20000114.t7",0
16.695,"A",0.956,0,23.87,2000,1,14,"2000/1",668.0886042,6036.928489,"20000114.t7",0
16.231,"A",0.956,0,24.06,2000,1,14,"2000/1",668.1313848,6037.428385,"20000114.t7",0
15.756,"A",0.956,0,24.08,2000,1,14,"2000/1",668.134996,6037.930336,"20000114.t7",0
15.261,"A",0.956,0,24.13,2000,1,14,"2000/1",668.0563041,6038.426522,"20000114.t7",0
14.761,"A",0.956,0,24.63,2000,1,14,"2000/1",667.9590989,6038.92223,"20000114.t7",0
14.314,"A",0.956,0,24.6,2000,1,14,"2000/1",668.037072,6039.425129,"20000114.t7",0
13.839,"A",0.956,0,24.49,2000,1,14,"2000/1",668.0215911,6039.925441,"20000114.t7",0
13.349,"A",0.956,0,24.07,2000,1,14,"2000/1",667.946254,6040.421938,"20000114.t7",0
12.876,"A",0.956,0,23.12,2000,1,14,"2000/1",667.9232119,6040.921837,"20000114.t7",0
12.418,"A",0.956,0,22.75,2000,1,14,"2000/1",667.9356481,6041.422391,"20000114.t7",0
11.95,"A",0.956,0,21.18,2000,1,14,"2000/1",667.9122134,6041.922003,"20000114.t7",0
11.491,"A",0.956,0,19.93,2000,1,14,"2000/1",667.904113,6042.42196,"20000114.t7",0
11.028,"A",0.956,0,19.35,2000,1,14,"2000/1",667.8842721,6042.922109,"20000114.t7",0
10.592,"A",0.956,0,18.33,2000,1,14,"2000/1",667.9180789,6043.421796,"20000114.t7",0
10.139,"A",0.956,0,16.97,2000,1,14,"2000/1",667.9033018,6043.922116,"20000114.t7",0
9.711,"A",0.956,0,15.54,2000,1,14,"2000/1",667.92901,6044.421716,"20000114.t7",0
9.282,"A",0.956,0,14.01,2000,1,14,"2000/1",667.9383782,6044.921822,"20000114.t7",0
8.875,"A",0.956,0,12.63,2000,1,14,"2000/1",667.9747235,6045.420725,"20000114.t7",0
8.48,"A",0.956,0,10.74,2000,1,14,"2000/1",668.0132032,6045.919311,"20000114.t7",0
8.112,"A",0.956,0,9.35,2000,1,14,"2000/1",668.0771092,6046.417293,"20000114.t7",0
7.701,"A",0.956,0,8.21,2000,1,14,"2000/1",668.0513435,6046.918429,"20000114.t7",0
7.329,"A",0.956,15,7.09,2000,1,14,"2000/1",668.0675674,6047.418759,"20000114.t7",15.6903765690377
6.924,"A",0.956,0,6.75,2000,1,14,"2000/1",668.0121634,6047.917817,"20000114.t7",0
