Year,Month,Day,Locationorig,Location,Sex,FinalML,WL,EL,LRL beak,Capture
1984,March,8,Auckland Islands (51E16S. 166E52E).,South Pacific,Female,1.93,NA,NA,0.0179,Captured
1984,April,12,southeast coast (41E11S.176E44E).. North Island,South Pacific,Female,0.93,NA,NA,,Captured
1984,Aprial,,Tazones. Asturias. Spain,North Atlantic,NK,NA,NA,NA,,NK
1984,May,,South African waters. Namimbia,South Atlantic,Female,1.25,NA,6,,Captured
1984,May,3,North Island. west coast (40E54S.176E14E).,South Pacific,Female,1.777,3.8424,,0.0185,Floating
1984,May,9,New Zealand. Wellington. Cape Palliser.,South Pacific,NK,NA,NA,NA,,Stranded
1984,May,12,North Island. south coast (41E17S.174E47E).,South Pacific,Female,1.825,NA,NA,,Stranded
1984,June,,Bahamas. Chub Cay,North Atlantic,NK,NA,NA,NA,,Floating
1984,June,,New Zealand. South Island. west coast hoki grounds.,South Pacific,NK,NA,NA,NA,,Captured
1984,July,25,South Island. northwest coast (41E05S.170E52E).,South Pacific,Female,1.56,NA,NA,0.0168,Captured
1984,September,24,South Island. southwest coast (46E18S.166E30E).,South Pacific,Female,2.02,NA,9.6134,0.018,Captured
1980,August,20,Orange River Mouth,South Atlantic,NK,0.81,NA,NA,,Captured
1985,June ,6,New Zealand (47E04S. 169E32E).,South Pacific,Female,NA,NA,NA,,Captured
1985,,,New Zealand lots of larvae,South Pacific,NK,NA,NA,NA,,NK
Before or during 1986,,,Location unknown,NK,NK,NA,NA,NA,,In whale
Before or during 1986,,,South Africa,NK,NK,1.98,NA,NA,,In whale
Before or during 1986,,,South Africa,NK,NK,NA,NA,NA,,In whale
1986,January,29,Off Aberdeen,North Atlantic,NK,1.45,2.98,,,Captured
1986,March,,Mouth of Orange River 27 52 S 14 40 E,South Atlantic,Female,1.68,NA,NA,0.01735,Captured
1986,March,31,Aukland Islands (50E50S. 166E51E).,South Pacific,Female,1.72,3.8468,,,Captured
1986,April,11,North Island. northeast coast (35E43S.174E20E).,South Pacific,Male,1.26,NA,NA,,Floating
1986,April,17,South Island. east coast (43E38S.174E43E).,South Pacific,Female,1.69,NA,NA,0.018,Captured
1986,May,27,South Island. southwest coast (46E32S.166E11E).,South Pacific,Female,1.83,NA,NA,0.018,Captured
1986,July,18,South Island. west coast (42E03S.170E26E).,South Pacific,NK,1.38,NA,NA,,Captured
1986,September,8,South Island. east coast (43E43S.174E56E).,South Pacific,Female,2.14,NA,NA,0.0185,Captured
1986 or 1987,,,Lord Howe Rise,South Pacific,NK,1.8,NA,NA,,Captured
1987,February,26,South Island. east coast (44E09S.173E44E).,South Pacific,Male,1.9,4.259,,,Captured
1987,March,5,Off Shetland,North Atlantic,NK,1.1,NA,NA,,Captured
1987,May,3,North Island. southeast coast (41E31S.176E43E).,South Pacific,Female,1.61,NA,NA,,Captured
1987,April to July,,approximately 40ES. 120EW,South Pacific,NK,NA,NA,NA,,Captured
1987,May,9,South Island. east coast (43E38S.174E14E).,South Pacific,Female,2.135,NA,NA,,Captured
1987,July,26,South Island. west coast (42E35S.170E23E).,South Pacific,NK,1.3,NA,NA,,Captured
